Minyoung,SQ(y),Daily usage,Sleep duration,Steps,Exercise Duration,요일
2-Mar-22,3,0,0,4449,2700,3
3-Mar-22,4,0,0,12348,7620,4
4-Mar-22,5,0,0,8021,4320,5
5-Mar-22,4,0,0,11885,7140,6
6-Mar-22,4,0,30000,3843,2340,7
7-Mar-22,2,0,26400,1331,780,1
8-Mar-22,4,14820,29400,9891,5460,2
9-Mar-22,3,11220,0,4509,2640,3
10-Mar-22,4,17340,18000,10330,5760,4
11-Mar-22,1,12240,27600,2882,1800,5
12-Mar-22,3,14280,20400,11282,6840,6
13-Mar-22,4,7320,18000,9191,5400,7
14-Mar-22,2,21420,28200,2727,1680,1
15-Mar-22,4,20040,22800,7209,4200,2
16-Mar-22,1,14700,32400,2459,1500,3
17-Mar-22,3,85860,16200,5309,3180,4
18-Mar-22,3,0,22200,2349,1440,5
19-Mar-22,4,0,21600,10745,5700,6
20-Mar-22,1,0,24600,1836,1080,7
21-Mar-22,1,0,25200,2403,1500,1
22-Mar-22,3,0,19200,8368,5160,2
23-Mar-22,5,0,25800,6084,3660,3
24-Mar-22,2,0,34200,2526,1500,4
25-Mar-22,3,3600,30000,5369,3300,5
26-Mar-22,1,14820,43200,1487,900,6
27-Mar-22,1,13620,31200,0,0,7
28-Mar-22,3,16800,21600,2767,1620,1
29-Mar-22,5,15420,18600,9466,5340,2
30-Mar-22,4,15300,18600,5209,3240,3
31-Mar-22,2,14220,17400,2435,1440,4
1-Apr-22,2,17760,30600,2666,1620,5
2-Apr-22,4,25680,13200,14542,8820,6
